unidade;ano;mes;urgencia_internado;urgencia_nao_internado
CSSI;2025;1;61;2408
CSSI;2025;2;65;2338
CSSI;2025;3;70;2476
CSSI;2025;4;61;2597
CSSI;2025;5;52;2957
CSSI;2025;6;60;2672
CSSI;2025;7;63;2625
CSSI;2025;8;62;2793
CSSI;2025;9;64;2707
HRBJA;2025;1;267;2286
HRBJA;2025;2;233;2139
HRBJA;2025;3;263;2491
HRBJA;2025;4;254;2423
HRBJA;2025;5;274;2797
HRBJA;2025;6;253;2766
HRBJA;2025;7;287;2794
HRBJA;2025;8;260;2854
HRBJA;2025;9;233;2916
HRJP;2025;1;127;353
HRJP;2025;2;120;348
HRJP;2025;3;162;386
HRJP;2025;4;149;314
HRJP;2025;5;165;361
HRJP;2025;6;151;313
HRJP;2025;7;145;304
HRJP;2025;8;160;333
HRJP;2025;9;131;317
IRS;2025;1;83;235
IRS;2025;2;57;226
IRS;2025;3;84;294
IRS;2025;4;79;278
IRS;2025;5;74;255
IRS;2025;6;85;227
IRS;2025;7;75;247
IRS;2025;8;74;252
IRS;2025;9;76;267
MOV;2025;1;402;1450
MOV;2025;2;346;1356
MOV;2025;3;396;1578
MOV;2025;4;402;1524
MOV;2025;5;409;1432
MOV;2025;6;380;1308
MOV;2025;7;338;1389
MOV;2025;8;360;1401
MOV;2025;9;374;1377
